P:edad,Capital,General Alvear,Guaymallen,Godoy Cruz,Las Heras,Junin,La Paz,Lavalle,Rivadavia,Lujan de Cuyo,Malargue,Maipu,San Carlos,San Martin,San Rafael,Santa Rosa,Tunuyan,Tupungato,,RESUMEN,
,,,,,,,,,,,,,,,,,,,,,
Edad,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,,Edad,Casos
91,144,30,110,102,63,24,1,6,27,53,7,101,12,30,104,4,18,10,,91,846
92,91,25,139,72,58,9,1,9,30,38,9,44,6,51,88,4,14,8,,92,696
93,84,17,141,52,25,7,2,9,18,10,4,49,6,63,97,2,19,7,,93,612
94,61,14,33,75,51,6,4,3,12,2,6,33,10,31,37,1,4,2,,94,385
95,61,7,48,30,1,4,2,3,5,4,3,11,2,18,67,2,5,2,,95,274
96,15,7,21,43,1,2,1,3,3,12,1,16,2,16,47,1,6,5,,96,200
97,20,2,22,42,10,3,,2,6,4,1,1,1,13,36,,3,1,,97,156
98,10,3,3,13,6,3,,1,9,10,2,1,1,12,20,,2,1,,98,81
99,20,3,18,,,2,,2,2,,1,9,2,1,2,,3,,,99,70
100,3,1,9,,,,,1,1,,,1,1,1,4,,1,,,100,39
107,1,2,1,,,,,,1,,,1,1,1,2,,1,,,101,5
,,1,1,,,,,,,,,1,,,1,,,,,102,4
Total,115.119,46.429,284.253,192.567,202.928,37.859,10.012,36.738,56.373,119.812,27660,172.259,32.631,118.234,187.997,16.374,49.458,32.524,,103,4
,,,,,,,,,,,,,,,,,,,,104,2
,,,,,,,,,,,,,,,,,,,,105,3
,,,,,,,,,,,,,,,,,,,,106,1
,,,,,,,,,,,,,,,,,,,,107,1
,,,,,,,,,,,,,,,,,,,,108,7
,,,,,,,,,,,,,,,,,,,,Total,1.739.227
